hour,mode
0.0,2
5.75,0
6.0,1
13.75,0
14.0,3
21.5,0
21.75,2
24.0,2
29.75,0
30.0,1
37.75,0
38.0,3
45.5,0
45.75,2
48.0,2
53.75,0
54.0,1
61.75,0
62.0,3
69.5,0
69.75,2
72.0,2
78.5,0
78.8333,1
89.5,0
96.0,2
109.8333,0
116.0,2
120.0,2
124.0,0
124.25,1
133.75,0
134.0,3
141.5,0
141.75,2
144.0,2
149.75,0
150.0,1
157.75,0
158.0,3
165.5,0
165.75,2
168.0,2
